run,mIoU,IoU_hard,IoU_soft,IoU_other,mDice,Dice_hard,Dice_soft,Dice_other,weights,split
1to1__oversampling_s0,0.6834216235945715,0.6037761036786106,0.5895336134541374,0.8569551536509663,0.8058934985640199,0.7529431350095793,0.741769294419702,0.9229680662627782,runs/1to1__oversampling_s0/weights/best.pt,test
1to1__rfs_linear_s0,0.6878708106993083,0.606893224836149,0.6074098944328337,0.8493093128289421,0.8098798921215667,0.7553622299926399,0.755762293782763,0.9185151525892973,runs/1to1__rfs_linear_s0/weights/best.pt,test
1to1__rfs_sqrt_s0,0.5581351758582286,0.4956180383787008,0.41695534263741063,0.7618321465585743,0.7053670565202056,0.6627601776132188,0.5885229126012148,0.8648180793461828,runs/1to1__rfs_sqrt_s0/weights/best.pt,test
extreme__oversampling_s0,0.6640661880793702,0.6330648754984637,0.5014911335195604,0.8576425552200867,0.7888887749113795,0.7753089114787702,0.667990802375294,0.9233666108800747,runs/extreme__oversampling_s0/weights/best.pt,test
extreme__rfs_linear_s0,0.6681749828798781,0.6461784773571925,0.4964058257126663,0.8619406455697753,0.7914603276847189,0.7850649079006066,0.6634641715274692,0.9258519036260809,runs/extreme__rfs_linear_s0/weights/best.pt,test
extreme__rfs_sqrt_s0,0.6936377267231678,0.677183741428443,0.5306627959661608,0.8730666427748995,0.8110445432823785,0.8075248104321491,0.6933764867933623,0.9322323326216242,runs/extreme__rfs_sqrt_s0/weights/best.pt,test
realistic__rfs_linear_s0,0.742321520970259,0.6967390273709259,0.6474982566346289,0.8827272789052226,0.848339256429626,0.8212683460820885,0.7860381691174398,0.9377112540893497,runs/realistic__rfs_linear_s0/weights/best.pt,test
realistic__oversampling_s0,0.7464436532694215,0.6839962488454248,0.6765473179893473,0.8787873929734925,0.8516348788843197,0.8123488984187271,0.8070721425276779,0.9354835957065539,runs/realistic__oversampling_s0/weights/best.pt,test
baseline_1to1_train,0.5882652980148417,0.5288553078032614,0.4129753672605912,0.8229652189806727,0.7264217511115022,0.6918317320206686,0.5845471574798193,0.9028863638340188,runs/baseline_1to1_train/weights/best.pt,test
baseline_extreme_train,0.5881258646603142,0.571294757294826,0.3659724371774531,0.8271103995086636,0.7227937825075399,0.727164339653725,0.5358416132226974,0.9053753946461971,runs/baseline_extreme_train/weights/best.pt,test
baseline_realistic_train,0.6624449880131856,0.5915705759394573,0.551325539322193,0.8444388487779063,0.7899396459549797,0.7433796337812674,0.7107799431485913,0.9156593609350802,runs/baseline_realistic_train/weights/best.pt,test
realistic__rfs_sqrt_s02,0.7434834501727154,0.6975892083220359,0.6476442750687749,0.8852168671273354,0.8490395080682965,0.8218586745276975,0.7861457535082824,0.9391140961689095,runs/realistic__rfs_sqrt_s02/weights/best.pt,test
