epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.744,1.33784,2.71515,1.45549,1.22082,0.56285,0.33852,0.34033,0.23038,0.57058,0.3335,0.33359,0.20148,1.34096,2.654,1.56187,1.24071,0.000553783,0.000553783,0.000553783
2,214.573,1.26833,2.52641,1.30885,1.17392,0.56815,0.3403,0.34949,0.23511,0.57113,0.33556,0.34053,0.20364,1.34073,2.63937,1.4859,1.22721,0.00105453,0.00105453,0.00105453
3,321.725,1.25757,2.45716,1.26045,1.16152,0.58558,0.33717,0.34275,0.22951,0.58504,0.33459,0.33299,0.19824,1.35521,2.62588,1.5334,1.24523,0.00150027,0.00150027,0.00150027
4,423.312,1.23384,2.38524,1.21651,1.14802,0.57612,0.33469,0.34683,0.22896,0.58658,0.33082,0.33875,0.20151,1.36495,2.62357,1.58877,1.24001,0.00141945,0.00141945,0.00141945
5,532.963,1.21082,2.34037,1.15834,1.13467,0.57053,0.33567,0.34992,0.23082,0.56899,0.33315,0.34039,0.20243,1.36996,2.60732,1.50218,1.23437,0.00133693,0.00133693,0.00133693
6,634.317,1.19076,2.3052,1.12501,1.12459,0.55943,0.34214,0.35147,0.23188,0.56683,0.33374,0.33922,0.19999,1.36134,2.5922,1.50504,1.23547,0.00125442,0.00125442,0.00125442
7,747.692,1.17206,2.28972,1.09181,1.11326,0.56054,0.34083,0.3533,0.23266,0.56634,0.33602,0.34411,0.20302,1.37184,2.61147,1.47303,1.24688,0.0011719,0.0011719,0.0011719
8,848.497,1.15338,2.22366,1.06798,1.0978,0.56641,0.34254,0.35141,0.23287,0.57829,0.3335,0.3404,0.20255,1.36737,2.61904,1.45938,1.24054,0.00108938,0.00108938,0.00108938
9,955.978,1.13167,2.21249,1.02686,1.08841,0.56451,0.34681,0.35616,0.2334,0.57716,0.33666,0.34531,0.20573,1.38365,2.6382,1.44802,1.24485,0.00100687,0.00100687,0.00100687
10,1063.65,1.12618,2.17986,1.00123,1.07809,0.5856,0.34029,0.35562,0.23404,0.59359,0.33189,0.34358,0.20362,1.38503,2.63026,1.45175,1.24666,0.000924352,0.000924352,0.000924352
11,1156.67,1.05788,2.01365,0.92342,1.04777,0.55116,0.35069,0.35407,0.23412,0.57253,0.33734,0.34389,0.20122,1.37547,2.65844,1.47968,1.24502,0.000841835,0.000841835,0.000841835
12,1246.46,1.02969,1.96808,0.87587,1.03382,0.56561,0.34179,0.35474,0.23308,0.57305,0.33415,0.34258,0.20432,1.3927,2.63884,1.47219,1.25028,0.000759318,0.000759318,0.000759318
13,1327.71,1.01613,1.94143,0.84901,1.02505,0.56792,0.34554,0.35346,0.23124,0.57455,0.33453,0.34155,0.2028,1.39579,2.66518,1.46482,1.2523,0.000676802,0.000676802,0.000676802
14,1413.72,0.9953,1.90611,0.82352,1.01616,0.56919,0.3402,0.35187,0.23165,0.57887,0.32831,0.33991,0.19945,1.37894,2.66179,1.50243,1.2502,0.000594286,0.000594286,0.000594286
15,1500.69,0.98808,1.90028,0.79939,1.01207,0.57982,0.34193,0.35678,0.233,0.582,0.33328,0.34351,0.20321,1.39716,2.66841,1.47672,1.25885,0.000511769,0.000511769,0.000511769
16,1583.3,0.96663,1.85905,0.76911,0.99889,0.58207,0.34176,0.35767,0.23504,0.58377,0.33531,0.34522,0.20471,1.38457,2.65035,1.49426,1.24769,0.000429253,0.000429253,0.000429253
17,1673.92,0.95972,1.86309,0.76429,0.9984,0.58959,0.34104,0.35836,0.23434,0.58936,0.33179,0.34567,0.20387,1.38602,2.64372,1.4609,1.2508,0.000346736,0.000346736,0.000346736
18,1760.3,0.93839,1.82698,0.7448,0.98955,0.58156,0.33793,0.35356,0.23245,0.59388,0.32679,0.34074,0.20083,1.39061,2.66116,1.48586,1.25239,0.00026422,0.00026422,0.00026422
19,1840.93,0.93082,1.82738,0.74142,0.98386,0.58652,0.34334,0.35671,0.2354,0.58641,0.33606,0.34444,0.2038,1.38633,2.66286,1.46966,1.26172,0.000181703,0.000181703,0.000181703
20,1933.84,0.93261,1.82647,0.72565,0.9835,0.57459,0.34444,0.35393,0.23387,0.58021,0.33453,0.34126,0.20252,1.39027,2.66307,1.48762,1.25596,9.91865e-05,9.91865e-05,9.91865e-05
