epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.277,1.38627,2.85513,1.53286,1.25768,0.5801,0.34057,0.34801,0.23362,0.58528,0.33495,0.3383,0.19714,1.30498,2.5491,1.53116,1.2131,0.000554638,0.000554638,0.000554638
2,221.422,1.34349,2.70083,1.40293,1.21993,0.55003,0.34699,0.35005,0.2339,0.54848,0.34283,0.34011,0.20039,1.32792,2.54905,1.46649,1.2141,0.00105534,0.00105534,0.00105534
3,320.461,1.31735,2.62022,1.3448,1.19535,0.56254,0.34103,0.35407,0.2337,0.56631,0.33557,0.3452,0.20534,1.34349,2.57087,1.46764,1.21716,0.00150104,0.00150104,0.00150104
4,401.395,1.29533,2.54887,1.28716,1.18454,0.56563,0.34886,0.34765,0.2275,0.57816,0.33926,0.3362,0.19477,1.35279,2.59666,1.48253,1.22579,0.00141945,0.00141945,0.00141945
5,480.125,1.26041,2.45735,1.24072,1.15911,0.56885,0.34557,0.35551,0.23259,0.57538,0.33805,0.34401,0.20275,1.35957,2.56789,1.44941,1.23579,0.00133693,0.00133693,0.00133693
6,557.556,1.25677,2.44618,1.21644,1.15505,0.58189,0.33797,0.34805,0.229,0.5842,0.33012,0.33493,0.19365,1.36243,2.60143,1.53912,1.23448,0.00125442,0.00125442,0.00125442
7,637.666,1.24465,2.41618,1.1701,1.14455,0.5704,0.34261,0.34874,0.2294,0.57181,0.33677,0.33742,0.19732,1.35887,2.61415,1.52428,1.22478,0.0011719,0.0011719,0.0011719
8,716.632,1.20889,2.35784,1.12621,1.12721,0.57731,0.34648,0.35554,0.23345,0.58284,0.33967,0.34585,0.2076,1.37816,2.63958,1.48396,1.23791,0.00108938,0.00108938,0.00108938
9,793.985,1.19608,2.33202,1.10815,1.11711,0.56467,0.34585,0.34856,0.23054,0.58446,0.33422,0.33882,0.19962,1.36719,2.64076,1.52365,1.24468,0.00100687,0.00100687,0.00100687
10,873.717,1.1777,2.30087,1.06976,1.10819,0.5711,0.34089,0.34771,0.23061,0.58848,0.33169,0.33774,0.19811,1.37733,2.64843,1.51763,1.24912,0.000924352,0.000924352,0.000924352
11,960.554,1.11888,2.15377,0.9876,1.0728,0.58899,0.34327,0.35829,0.23588,0.60952,0.33438,0.34848,0.20622,1.39452,2.64434,1.45778,1.2601,0.000841835,0.000841835,0.000841835
12,1054.24,1.10067,2.10135,0.93163,1.06035,0.58396,0.34001,0.35099,0.229,0.58648,0.33182,0.33875,0.19848,1.39451,2.65579,1.50165,1.2604,0.000759318,0.000759318,0.000759318
13,1133.3,1.06912,2.06071,0.89632,1.04597,0.58995,0.3414,0.35155,0.23031,0.59462,0.33537,0.33952,0.19888,1.39819,2.67957,1.50011,1.27066,0.000676802,0.000676802,0.000676802
14,1236.53,1.05548,2.04789,0.86104,1.03479,0.59722,0.33967,0.35214,0.23125,0.59783,0.33242,0.33997,0.20019,1.40364,2.67733,1.49026,1.2695,0.000594286,0.000594286,0.000594286
15,1353.77,1.04575,2.01716,0.84387,1.02838,0.59835,0.33483,0.34742,0.22952,0.59888,0.3312,0.33689,0.19709,1.3979,2.68066,1.48777,1.2708,0.000511769,0.000511769,0.000511769
16,1460.47,1.03006,1.98596,0.82482,1.02267,0.59524,0.3318,0.34586,0.22749,0.59354,0.327,0.3353,0.1996,1.4113,2.70224,1.48865,1.28501,0.000429253,0.000429253,0.000429253
17,1544.58,1.01595,1.96798,0.80598,1.01382,0.60193,0.33178,0.34795,0.22885,0.60753,0.32837,0.33787,0.19966,1.40817,2.71913,1.49481,1.28188,0.000346736,0.000346736,0.000346736
18,1662.1,0.99801,1.94341,0.77732,1.00615,0.59781,0.33365,0.34942,0.22861,0.60298,0.32755,0.33879,0.1989,1.41318,2.68739,1.48189,1.28449,0.00026422,0.00026422,0.00026422
19,1772.26,0.99235,1.92669,0.77382,1.00047,0.59974,0.33404,0.34942,0.23015,0.60524,0.32672,0.33815,0.19827,1.41172,2.71285,1.50326,1.28404,0.000181703,0.000181703,0.000181703
20,1874.48,0.98377,1.90602,0.75826,0.99897,0.59337,0.33637,0.3514,0.23181,0.61078,0.32621,0.33995,0.19982,1.40834,2.71824,1.50676,1.2841,9.91865e-05,9.91865e-05,9.91865e-05
