epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.0497,1.34922,2.75571,1.49112,1.24746,0.58845,0.34334,0.35259,0.23725,0.59572,0.33301,0.33846,0.20535,1.29858,2.59131,1.47757,1.20664,0.000554598,0.000554598,0.000554598
2,160.061,1.3258,2.67456,1.391,1.21997,0.56918,0.34641,0.34869,0.22984,0.57676,0.3371,0.33231,0.19441,1.32767,2.56214,1.47327,1.22139,0.00105531,0.00105531,0.00105531
3,236.601,1.31311,2.5938,1.33729,1.19819,0.56056,0.34355,0.35062,0.23184,0.55821,0.34082,0.34229,0.20414,1.35975,2.5719,1.46613,1.23376,0.001501,0.001501,0.001501
4,313.831,1.26704,2.47738,1.27064,1.17845,0.54515,0.34334,0.35132,0.23064,0.54219,0.33615,0.33865,0.20247,1.35478,2.56965,1.44751,1.23384,0.00141945,0.00141945,0.00141945
5,389.424,1.24401,2.42413,1.23485,1.15811,0.56875,0.33836,0.34875,0.22988,0.56507,0.33431,0.33655,0.19639,1.35448,2.60065,1.48697,1.23206,0.00133693,0.00133693,0.00133693
6,466.046,1.24782,2.43861,1.20825,1.15859,0.56582,0.33925,0.3504,0.23051,0.57414,0.33542,0.34217,0.20105,1.36737,2.59813,1.51869,1.23191,0.00125442,0.00125442,0.00125442
7,544.444,1.21335,2.37356,1.15894,1.13552,0.57855,0.33304,0.34735,0.22959,0.58311,0.33023,0.33937,0.19859,1.3713,2.60289,1.49481,1.25091,0.0011719,0.0011719,0.0011719
8,620.283,1.2053,2.34971,1.14343,1.13043,0.58222,0.33993,0.35343,0.23262,0.58149,0.33444,0.33941,0.19984,1.37035,2.59772,1.45777,1.24766,0.00108938,0.00108938,0.00108938
9,696.093,1.1699,2.29597,1.09592,1.10909,0.58844,0.33446,0.34726,0.22579,0.59332,0.32969,0.33685,0.19607,1.39101,2.6423,1.51965,1.25324,0.00100687,0.00100687,0.00100687
10,773.105,1.17768,2.28637,1.08635,1.1115,0.57232,0.34546,0.34898,0.22844,0.5857,0.33682,0.33687,0.1958,1.37023,2.61804,1.48225,1.2529,0.000924352,0.000924352,0.000924352
11,850.825,1.11408,2.13835,1.0058,1.07533,0.58347,0.34131,0.35224,0.23113,0.58416,0.33503,0.33934,0.20042,1.38204,2.66601,1.4317,1.26135,0.000841835,0.000841835,0.000841835
12,921.337,1.09311,2.09411,0.94406,1.06296,0.5683,0.34039,0.34882,0.22968,0.58212,0.33163,0.3379,0.1978,1.3853,2.64969,1.47806,1.26743,0.000759318,0.000759318,0.000759318
13,995.041,1.07155,2.05013,0.90202,1.04891,0.54889,0.3441,0.34638,0.22643,0.57224,0.33232,0.33406,0.19529,1.39372,2.69201,1.48103,1.26799,0.000676802,0.000676802,0.000676802
14,1069.71,1.05913,2.02551,0.87174,1.04049,0.59178,0.33513,0.34796,0.22827,0.59247,0.3319,0.33556,0.19694,1.40388,2.67132,1.48775,1.27815,0.000594286,0.000594286,0.000594286
15,1139.67,1.04325,2.00421,0.85046,1.03409,0.60338,0.32853,0.34957,0.22852,0.60351,0.32429,0.33467,0.19602,1.40423,2.68151,1.48406,1.27956,0.000511769,0.000511769,0.000511769
16,1211.93,1.02426,1.95766,0.82075,1.02066,0.57489,0.34577,0.3511,0.22939,0.58434,0.33377,0.33621,0.19781,1.40994,2.70094,1.45678,1.29108,0.000429253,0.000429253,0.000429253
17,1283.59,1.00267,1.94482,0.80482,1.0141,0.58425,0.33943,0.35128,0.231,0.5858,0.33321,0.33776,0.19766,1.40086,2.69912,1.47641,1.27648,0.000346736,0.000346736,0.000346736
18,1354,0.99822,1.93562,0.79026,1.00786,0.5773,0.34377,0.35114,0.23154,0.58789,0.33524,0.33986,0.19989,1.41242,2.6951,1.4745,1.28569,0.00026422,0.00026422,0.00026422
19,1425.06,0.98729,1.9154,0.77444,1.00498,0.58537,0.33391,0.34824,0.22987,0.58877,0.32956,0.33729,0.1976,1.4058,2.70196,1.49551,1.29022,0.000181703,0.000181703,0.000181703
20,1497.55,0.97458,1.90092,0.75747,0.99707,0.56521,0.34297,0.34984,0.23146,0.58132,0.3325,0.33769,0.19989,1.39976,2.70065,1.49005,1.28623,9.91865e-05,9.91865e-05,9.91865e-05
