epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.599,1.78787,3.74624,2.6139,1.53682,0.1822,0.16365,0.09237,0.05084,0.18138,0.15086,0.08562,0.04232,1.8406,3.83678,2.94579,1.52753,0.000547373,0.000547373,0.000547373
2,203.449,1.6837,3.39107,2.1582,1.43289,0.26334,0.19604,0.13906,0.07514,0.25878,0.18759,0.13035,0.06168,1.75314,3.60423,2.71404,1.55352,0.00104844,0.00104844,0.00104844
3,303.069,1.71122,3.35346,2.12695,1.45377,0.21247,0.21053,0.12113,0.06366,0.2028,0.19042,0.10964,0.05309,1.76181,3.70272,3.37051,1.55741,0.00149449,0.00149449,0.00149449
4,399.72,1.67945,3.30306,2.06182,1.41568,0.25171,0.21431,0.1427,0.07335,0.24847,0.19248,0.12936,0.06157,1.73513,3.51148,2.39433,1.52401,0.00141945,0.00141945,0.00141945
5,495.231,1.59393,3.14374,1.97667,1.37845,0.35254,0.20369,0.17456,0.09768,0.35552,0.19711,0.16848,0.0837,1.6741,3.38176,2.24264,1.46892,0.00133693,0.00133693,0.00133693
6,592.009,1.61093,3.1746,1.93903,1.38531,0.33583,0.22246,0.1832,0.10331,0.34243,0.21035,0.17477,0.08988,1.65172,3.26588,2.26381,1.46444,0.00125442,0.00125442,0.00125442
7,694.326,1.55577,3.04035,1.8503,1.34833,0.35916,0.22599,0.19804,0.11316,0.36601,0.21784,0.1907,0.0961,1.64748,3.2173,2.20957,1.41089,0.0011719,0.0011719,0.0011719
8,800.029,1.58151,3.12261,1.8667,1.34893,0.35246,0.23808,0.20294,0.11666,0.3633,0.22767,0.19565,0.10037,1.63014,3.16247,1.97908,1.41325,0.00108938,0.00108938,0.00108938
9,902.485,1.55339,3.03669,1.81914,1.33737,0.36376,0.23219,0.20024,0.11213,0.36343,0.22147,0.18748,0.09513,1.62041,3.19418,2.04188,1.4125,0.00100687,0.00100687,0.00100687
10,999.819,1.51753,2.9829,1.76092,1.30808,0.39539,0.23917,0.21321,0.1225,0.39719,0.23028,0.20325,0.10583,1.61894,3.12944,2.0182,1.39731,0.000924352,0.000924352,0.000924352
11,1092.66,1.49533,2.90632,1.79816,1.31264,0.38054,0.24469,0.21699,0.12353,0.38445,0.23184,0.20429,0.10654,1.61758,3.10197,1.97328,1.39177,0.000841835,0.000841835,0.000841835
12,1192.77,1.48098,2.87723,1.75635,1.30287,0.37587,0.2522,0.21803,0.12884,0.38532,0.2381,0.20545,0.10782,1.57578,3.08521,2.05885,1.36991,0.000759318,0.000759318,0.000759318
13,1291.04,1.47178,2.85339,1.72339,1.30129,0.38104,0.2521,0.21847,0.12772,0.38313,0.24032,0.20615,0.1066,1.57093,3.06731,1.96828,1.37825,0.000676802,0.000676802,0.000676802
14,1389.34,1.44593,2.79277,1.69214,1.28413,0.36872,0.2398,0.21974,0.12781,0.37545,0.22954,0.20938,0.10986,1.602,3.06464,1.96336,1.37823,0.000594286,0.000594286,0.000594286
15,1491.6,1.41333,2.74407,1.62632,1.26736,0.39101,0.2466,0.22302,0.13161,0.3948,0.23102,0.2106,0.10944,1.57857,3.08424,1.89299,1.36904,0.000511769,0.000511769,0.000511769
16,1590.34,1.44668,2.78925,1.62174,1.2853,0.39684,0.25885,0.23519,0.13977,0.41357,0.2415,0.22121,0.11785,1.5604,3.02941,1.89727,1.36029,0.000429253,0.000429253,0.000429253
17,1686.28,1.40505,2.73197,1.57973,1.2596,0.3936,0.25566,0.23056,0.13691,0.39415,0.23786,0.21719,0.11388,1.56615,3.03022,1.90111,1.36571,0.000346736,0.000346736,0.000346736
18,1784.25,1.38191,2.68354,1.5668,1.24634,0.40183,0.25533,0.23316,0.13983,0.40049,0.24238,0.22213,0.1194,1.54714,3.01773,1.86969,1.36097,0.00026422,0.00026422,0.00026422
19,1882.83,1.35608,2.63874,1.50412,1.22633,0.40083,0.26146,0.24086,0.14468,0.41149,0.24539,0.22817,0.12136,1.53982,2.99821,1.85761,1.35285,0.000181703,0.000181703,0.000181703
20,1979.66,1.35437,2.63817,1.51066,1.22876,0.39674,0.26512,0.2408,0.14456,0.40825,0.24711,0.22799,0.12147,1.53612,2.99174,1.87824,1.34948,9.91865e-05,9.91865e-05,9.91865e-05
