epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.094,1.57917,3.2995,2.06548,1.41762,0.36225,0.13958,0.1294,0.07397,0.3954,0.1356,0.12353,0.0618,1.65594,3.33292,2.31242,1.43127,0.000553967,0.000553967,0.000553967
2,530.252,1.56052,3.09905,1.86818,1.38488,0.54359,0.13987,0.13956,0.08122,0.5555,0.137,0.13404,0.06989,1.64752,3.34835,2.33144,1.46858,0.00105471,0.00105471,0.00105471
3,806.291,1.53756,3.05046,1.85045,1.37851,0.70245,0.14698,0.17331,0.09961,0.70137,0.14293,0.16811,0.08493,1.63176,3.21866,2.31256,1.41427,0.00150044,0.00150044,0.00150044
4,1086.79,1.49377,2.99411,1.77452,1.35057,0.49025,0.18585,0.17704,0.10642,0.52788,0.17661,0.16968,0.09105,1.563,3.08101,2.04128,1.37571,0.00141945,0.00141945,0.00141945
5,1370.32,1.46411,2.91952,1.71474,1.3291,0.40675,0.21036,0.19281,0.11419,0.4268,0.19971,0.18412,0.09821,1.59653,3.10622,2.04326,1.38014,0.00133693,0.00133693,0.00133693
6,1654.22,1.45768,2.86568,1.68891,1.31735,0.26241,0.223,0.16743,0.09983,0.25581,0.21144,0.16158,0.08666,1.54248,2.99535,1.92729,1.34223,0.00125442,0.00125442,0.00125442
7,2031.54,1.43065,2.83362,1.65694,1.3029,0.338,0.22847,0.19206,0.11626,0.33633,0.21783,0.18482,0.09855,1.50733,2.97919,1.89335,1.32062,0.0011719,0.0011719,0.0011719
8,2325.71,1.40733,2.77755,1.62226,1.29518,0.38757,0.22489,0.20114,0.12267,0.39343,0.22044,0.19349,0.10431,1.50373,2.93583,1.8947,1.31363,0.00108938,0.00108938,0.00108938
9,2624.25,1.37865,2.74223,1.59144,1.27988,0.36557,0.23456,0.20647,0.12574,0.35957,0.22006,0.19529,0.10517,1.48296,2.91443,1.83051,1.30307,0.00100687,0.00100687,0.00100687
10,2920.83,1.37356,2.73741,1.57093,1.27483,0.3395,0.22852,0.20292,0.12536,0.342,0.2163,0.19264,0.10483,1.45723,2.87039,1.84195,1.30729,0.000924352,0.000924352,0.000924352
11,3179.7,1.39527,2.7526,1.64877,1.29125,0.30619,0.22205,0.18764,0.11652,0.29924,0.21243,0.18088,0.10079,1.45462,2.86444,1.83175,1.27935,0.000841835,0.000841835,0.000841835
12,3441.88,1.3735,2.69439,1.5922,1.27506,0.33779,0.23481,0.20249,0.12662,0.33661,0.22268,0.19515,0.1074,1.43738,2.83392,1.79005,1.28162,0.000759318,0.000759318,0.000759318
13,3707.61,1.36808,2.6693,1.57755,1.2724,0.30001,0.23824,0.1896,0.11915,0.29223,0.22495,0.18226,0.10279,1.44867,2.82726,1.78949,1.28081,0.000676802,0.000676802,0.000676802
14,3973.61,1.34979,2.62362,1.5397,1.26352,0.56213,0.2312,0.23729,0.14599,0.5616,0.22584,0.22795,0.12498,1.44032,2.78278,1.80149,1.2848,0.000594286,0.000594286,0.000594286
15,4239.75,1.33906,2.59626,1.51692,1.2513,0.36094,0.24495,0.21932,0.13695,0.3501,0.2313,0.2089,0.11604,1.41191,2.7614,1.74594,1.26812,0.000511769,0.000511769,0.000511769
16,4508.88,1.32094,2.56662,1.47728,1.23659,0.34009,0.24591,0.20756,0.13225,0.32712,0.23597,0.19905,0.11127,1.40155,2.75883,1.74314,1.26036,0.000429253,0.000429253,0.000429253
17,4763.72,1.29775,2.54871,1.47138,1.22519,0.43374,0.2483,0.24121,0.15255,0.43467,0.23755,0.23106,0.1274,1.39349,2.72914,1.67743,1.24564,0.000346736,0.000346736,0.000346736
18,5019.41,1.28252,2.50346,1.42777,1.21226,0.43432,0.24926,0.24264,0.15332,0.42696,0.23801,0.2307,0.12816,1.38011,2.72455,1.66272,1.24462,0.00026422,0.00026422,0.00026422
19,5277.03,1.27589,2.48922,1.43059,1.21048,0.36824,0.25431,0.22662,0.14401,0.35193,0.24249,0.21453,0.12082,1.3806,2.71591,1.65826,1.23947,0.000181703,0.000181703,0.000181703
20,5536.12,1.26246,2.46103,1.40034,1.20481,0.41756,0.25613,0.24294,0.15389,0.42121,0.2418,0.23012,0.12825,1.37292,2.70218,1.64218,1.23654,9.91865e-05,9.91865e-05,9.91865e-05
