epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.361,1.66297,3.36012,2.35809,1.42671,0.32854,0.20421,0.16657,0.08921,0.33647,0.19751,0.16095,0.07917,1.73429,3.33361,2.1419,1.45104,0.000554948,0.000554948,0.000554948
2,1140.34,1.64219,3.19967,2.03849,1.41237,0.37727,0.22353,0.19678,0.11262,0.37992,0.21724,0.18936,0.09705,1.65697,3.25711,2.03204,1.44114,0.00105564,0.00105564,0.00105564
3,1751.59,1.61598,3.16009,1.9627,1.39678,0.37305,0.24209,0.2117,0.12345,0.38225,0.22824,0.20163,0.10644,1.60819,3.15971,1.96752,1.40838,0.00150132,0.00150132,0.00150132
4,2363.02,1.58527,3.09591,1.9179,1.37678,0.40961,0.24942,0.22276,0.13181,0.40997,0.24062,0.21194,0.11012,1.58274,3.05854,1.89015,1.37717,0.00141945,0.00141945,0.00141945
5,2969.56,1.53961,2.99491,1.83786,1.34723,0.40899,0.25869,0.24286,0.1419,0.40895,0.24863,0.23468,0.12471,1.57035,2.94976,1.86957,1.3615,0.00133693,0.00133693,0.00133693
6,3586.95,1.52634,2.9782,1.80823,1.34025,0.42815,0.25316,0.2444,0.14651,0.43493,0.24518,0.23451,0.12341,1.52015,2.92747,1.80288,1.33451,0.00125442,0.00125442,0.00125442
7,4205.87,1.48644,2.89663,1.77348,1.3211,0.42801,0.27106,0.25128,0.14979,0.42395,0.26499,0.24101,0.12759,1.47801,2.88756,1.9012,1.3178,0.0011719,0.0011719,0.0011719
8,4822.12,1.47692,2.87935,1.72566,1.30437,0.41268,0.27035,0.25184,0.1508,0.42446,0.25527,0.24071,0.12822,1.49715,2.89212,1.78269,1.31215,0.00108938,0.00108938,0.00108938
9,5438.94,1.45601,2.8437,1.69885,1.30086,0.43978,0.27965,0.26259,0.1609,0.44775,0.26477,0.25151,0.1355,1.45504,2.83995,1.76526,1.29184,0.00100687,0.00100687,0.00100687
10,6056.68,1.44625,2.82032,1.67405,1.28906,0.45239,0.27843,0.27194,0.1667,0.46667,0.26507,0.26014,0.14091,1.45166,2.82099,1.70176,1.30326,0.000924352,0.000924352,0.000924352
11,6616.02,1.45564,2.75234,1.7948,1.30647,0.45182,0.28353,0.27218,0.16445,0.4522,0.27427,0.25979,0.13967,1.4801,2.80225,1.72143,1.30841,0.000841835,0.000841835,0.000841835
12,7176.06,1.43048,2.71532,1.7407,1.28326,0.43782,0.28977,0.27793,0.17103,0.44302,0.27869,0.26806,0.1468,1.45726,2.78404,1.67453,1.28893,0.000759318,0.000759318,0.000759318
13,7737.96,1.42439,2.71153,1.71276,1.28787,0.43927,0.28377,0.27748,0.16963,0.43842,0.27255,0.26266,0.14045,1.42523,2.76562,1.68564,1.27845,0.000676802,0.000676802,0.000676802
14,8300.37,1.39575,2.66864,1.66769,1.26577,0.44956,0.28801,0.28226,0.17378,0.44113,0.27535,0.26631,0.14736,1.42991,2.74986,1.635,1.27879,0.000594286,0.000594286,0.000594286
15,8862.81,1.41713,2.67404,1.62385,1.27454,0.45605,0.29753,0.28976,0.17846,0.46133,0.28538,0.27848,0.15313,1.42266,2.71879,1.62293,1.26863,0.000511769,0.000511769,0.000511769
16,9424.21,1.3855,2.64182,1.61239,1.25926,0.47711,0.30394,0.3032,0.18806,0.48673,0.28831,0.2877,0.15815,1.41491,2.70114,1.58636,1.25979,0.000429253,0.000429253,0.000429253
17,9985.75,1.36402,2.59222,1.59923,1.24626,0.47782,0.30567,0.30126,0.18787,0.4921,0.28458,0.28464,0.15727,1.39328,2.66524,1.60306,1.25397,0.000346736,0.000346736,0.000346736
18,10547.4,1.35594,2.56304,1.57061,1.24791,0.49836,0.30527,0.31083,0.197,0.51271,0.28821,0.2931,0.16396,1.37118,2.64892,1.55985,1.23983,0.00026422,0.00026422,0.00026422
19,11113.3,1.32553,2.52431,1.51385,1.22965,0.48991,0.30543,0.31122,0.19744,0.49326,0.2922,0.29668,0.16533,1.37422,2.64708,1.53934,1.24105,0.000181703,0.000181703,0.000181703
20,11672.1,1.31579,2.50029,1.50391,1.22177,0.48039,0.31937,0.31755,0.20305,0.49282,0.29822,0.30217,0.16855,1.35181,2.61868,1.52024,1.22648,9.91865e-05,9.91865e-05,9.91865e-05
