epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.799,1.27537,2.5637,1.28135,1.1824,0.56843,0.34532,0.35001,0.22984,0.60101,0.33273,0.34059,0.20217,1.37754,2.60933,1.48547,1.24557,0.000555385,0.000555385,0.000555385
2,863.429,1.111,2.21083,0.99908,1.0811,0.5224,0.33118,0.32984,0.21461,0.53435,0.32067,0.31995,0.1901,1.39365,2.65105,1.50059,1.24968,0.00105605,0.00105605,0.00105605
3,1270.12,1.03394,2.06255,0.88565,1.0386,0.5691,0.31669,0.33335,0.21962,0.5758,0.31243,0.32549,0.18901,1.38317,2.65277,1.50538,1.24023,0.00150171,0.00150171,0.00150171
4,1684.06,0.98232,1.96889,0.83195,1.01651,0.55297,0.3289,0.33846,0.22128,0.55477,0.32362,0.32995,0.1916,1.38703,2.62878,1.47417,1.23637,0.00141945,0.00141945,0.00141945
5,2099.51,0.94063,1.89488,0.78135,0.99684,0.5397,0.32498,0.33502,0.22075,0.5559,0.31219,0.32645,0.1928,1.37133,2.62795,1.49204,1.23035,0.00133693,0.00133693,0.00133693
6,2501.76,0.89916,1.82842,0.7447,0.98272,0.57217,0.32028,0.33458,0.22132,0.57874,0.31303,0.32488,0.19191,1.37308,2.62589,1.49113,1.24279,0.00125442,0.00125442,0.00125442
7,2912.29,0.87495,1.78398,0.71837,0.97225,0.55467,0.32864,0.33653,0.22295,0.56243,0.31621,0.32768,0.19104,1.35975,2.61662,1.4908,1.2202,0.0011719,0.0011719,0.0011719
8,3322.84,0.85299,1.73085,0.70099,0.96556,0.56478,0.33088,0.3434,0.2296,0.5925,0.31622,0.33711,0.20233,1.35257,2.5997,1.48636,1.21996,0.00108938,0.00108938,0.00108938
9,3729.86,0.84153,1.7195,0.68384,0.95982,0.57166,0.3271,0.34002,0.22597,0.57449,0.32428,0.33289,0.19654,1.35292,2.5962,1.45104,1.21243,0.00100687,0.00100687,0.00100687
10,4137.77,0.82818,1.69168,0.66786,0.95708,0.57541,0.32436,0.3392,0.22631,0.59009,0.31375,0.33099,0.19407,1.33676,2.59255,1.4679,1.20209,0.000924352,0.000924352,0.000924352
11,4556.64,0.76523,1.55434,0.62802,0.93282,0.59177,0.3253,0.3473,0.23308,0.59657,0.32003,0.339,0.20229,1.32932,2.57591,1.45975,1.20211,0.000841835,0.000841835,0.000841835
12,4964.54,0.73678,1.50229,0.59857,0.9232,0.61087,0.32173,0.34922,0.23422,0.60753,0.31723,0.34313,0.2035,1.33221,2.57569,1.43318,1.19747,0.000759318,0.000759318,0.000759318
13,5372.64,0.72091,1.4711,0.58032,0.91815,0.60074,0.32013,0.34763,0.23245,0.60629,0.3113,0.33991,0.2007,1.31448,2.55127,1.43949,1.18385,0.000676802,0.000676802,0.000676802
14,5786.92,0.70508,1.43706,0.57103,0.91379,0.62855,0.32028,0.35759,0.2404,0.61968,0.31768,0.35028,0.20912,1.31848,2.54666,1.42114,1.18746,0.000594286,0.000594286,0.000594286
15,6203.47,0.69739,1.42641,0.56267,0.91145,0.60717,0.32554,0.35299,0.23886,0.60934,0.31755,0.34493,0.20654,1.30969,2.54316,1.43354,1.17884,0.000511769,0.000511769,0.000511769
16,6603.53,0.68208,1.40001,0.55024,0.9065,0.60966,0.32827,0.35456,0.23898,0.6071,0.31773,0.34374,0.20633,1.30051,2.53278,1.42888,1.17887,0.000429253,0.000429253,0.000429253
17,7009.63,0.66965,1.3843,0.53991,0.90073,0.62244,0.32966,0.35957,0.24233,0.62824,0.31756,0.34976,0.20964,1.29788,2.53129,1.41431,1.17868,0.000346736,0.000346736,0.000346736
18,7430.55,0.66757,1.37838,0.53918,0.90274,0.61943,0.32717,0.35898,0.24428,0.61367,0.32068,0.35031,0.21264,1.29109,2.51378,1.43336,1.17333,0.00026422,0.00026422,0.00026422
19,7841.49,0.65614,1.35853,0.52878,0.89821,0.61767,0.32446,0.35722,0.24273,0.619,0.31427,0.34807,0.21009,1.28823,2.52238,1.40334,1.17028,0.000181703,0.000181703,0.000181703
20,8239.95,0.64832,1.34813,0.5236,0.89592,0.63281,0.32435,0.35875,0.24429,0.62478,0.31803,0.34972,0.21114,1.28279,2.52107,1.39981,1.16326,9.91865e-05,9.91865e-05,9.91865e-05
