epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.196,1.28501,2.60612,1.39339,1.23179,0.55683,0.3383,0.34863,0.23635,0.55947,0.33436,0.34132,0.20691,1.28398,2.48821,1.45017,1.19972,0.000555451,0.000555451,0.000555451
2,11463.7,1.25582,2.48358,1.32684,1.20254,0.60685,0.33685,0.35961,0.24018,0.6032,0.33301,0.3501,0.2124,1.27817,2.44367,1.38576,1.18418,0.00105612,0.00105612,0.00105612
3,11927.7,1.243,2.42585,1.28852,1.18806,0.5696,0.3409,0.35625,0.2387,0.58611,0.32894,0.34742,0.20743,1.27971,2.45094,1.37527,1.18147,0.00150177,0.00150177,0.00150177
4,12427.6,1.22658,2.38783,1.26478,1.17747,0.5758,0.33134,0.33957,0.2276,0.5874,0.32829,0.332,0.19844,1.26545,2.44733,1.42533,1.17898,0.00141945,0.00141945,0.00141945
5,12786.2,1.21144,2.35619,1.23209,1.16482,0.58712,0.33714,0.35419,0.23994,0.59296,0.33221,0.34776,0.20829,1.25566,2.41482,1.40933,1.17151,0.00133693,0.00133693,0.00133693
6,13236.4,1.19159,2.31162,1.2083,1.15645,0.60197,0.33423,0.35565,0.23882,0.60403,0.32977,0.3457,0.2078,1.26167,2.40713,1.40848,1.16665,0.00125442,0.00125442,0.00125442
7,13776.1,1.18689,2.29623,1.19014,1.15349,0.57831,0.33786,0.3529,0.23706,0.59383,0.32979,0.34551,0.20469,1.25721,2.39353,1.39356,1.16561,0.0011719,0.0011719,0.0011719
8,14124.3,1.17419,2.27538,1.16836,1.14265,0.58815,0.34226,0.35895,0.23935,0.5972,0.33725,0.35116,0.20936,1.25553,2.39619,1.39075,1.15603,0.00108938,0.00108938,0.00108938
9,14646,1.15611,2.24267,1.14143,1.13227,0.59101,0.34094,0.35821,0.23961,0.6065,0.32756,0.3449,0.20673,1.23847,2.39854,1.34211,1.15499,0.00100687,0.00100687,0.00100687
10,15029,1.15304,2.2231,1.12512,1.12686,0.5886,0.33504,0.35761,0.24113,0.58859,0.331,0.34742,0.20962,1.24927,2.39733,1.36911,1.15581,0.000924352,0.000924352,0.000924352
11,15496.6,1.12478,2.14584,1.08911,1.10515,0.57469,0.33974,0.35255,0.23713,0.58436,0.33223,0.34322,0.20633,1.25618,2.37846,1.35757,1.15649,0.000841835,0.000841835,0.000841835
12,15928.7,1.10734,2.11181,1.04977,1.09184,0.59496,0.34039,0.36252,0.24501,0.59305,0.33707,0.35279,0.21246,1.24037,2.36982,1.29652,1.14861,0.000759318,0.000759318,0.000759318
13,16383.7,1.08923,2.08538,1.01707,1.08326,0.61924,0.3407,0.36349,0.24645,0.62192,0.33407,0.35204,0.21305,1.24478,2.36707,1.31029,1.14952,0.000676802,0.000676802,0.000676802
14,16838.8,1.08118,2.06296,0.99507,1.07284,0.61161,0.3416,0.36463,0.24797,0.61718,0.33103,0.3522,0.21238,1.23471,2.35986,1.28562,1.13912,0.000594286,0.000594286,0.000594286
15,17295.3,1.06922,2.04578,0.97138,1.0665,0.62763,0.33987,0.37269,0.25541,0.63503,0.33218,0.35805,0.21937,1.22254,2.34883,1.27283,1.13677,0.000511769,0.000511769,0.000511769
16,17680.3,1.05602,2.02262,0.95114,1.05845,0.61653,0.33798,0.36397,0.24932,0.63174,0.32703,0.35069,0.21418,1.21615,2.33756,1.29309,1.13265,0.000429253,0.000429253,0.000429253
17,17959.6,1.0458,2.0066,0.93276,1.05314,0.64462,0.33871,0.37262,0.25557,0.64886,0.33129,0.36002,0.21924,1.22437,2.34396,1.29539,1.1372,0.000346736,0.000346736,0.000346736
18,18238.2,1.03123,1.98926,0.91765,1.04579,0.65322,0.34037,0.37285,0.25548,0.6412,0.33579,0.35961,0.21865,1.21236,2.33406,1.29177,1.12995,0.00026422,0.00026422,0.00026422
19,18517.2,1.01989,1.96027,0.89563,1.03952,0.63955,0.33891,0.37093,0.2556,0.63407,0.33333,0.35975,0.219,1.21097,2.32012,1.27518,1.12803,0.000181703,0.000181703,0.000181703
20,18795.4,1.01424,1.95655,0.88357,1.03592,0.62313,0.34157,0.36921,0.25411,0.6338,0.33115,0.35552,0.21637,1.21144,2.33315,1.27035,1.12829,9.91865e-05,9.91865e-05,9.91865e-05
