epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.869,1.28038,2.60139,1.39535,1.23018,0.59537,0.34251,0.35635,0.24198,0.60497,0.33803,0.35092,0.21456,1.27395,2.47373,1.41138,1.19055,0.000555439,0.000555439,0.000555439
2,585.606,1.24816,2.45984,1.32827,1.19965,0.54465,0.32997,0.33943,0.22463,0.55591,0.32473,0.33117,0.19602,1.28413,2.45054,1.50196,1.18667,0.00105611,0.00105611,0.00105611
3,870.056,1.23981,2.42258,1.29576,1.19266,0.58729,0.33477,0.35264,0.23661,0.58858,0.32977,0.34403,0.20776,1.28543,2.46118,1.41963,1.18682,0.00150176,0.00150176,0.00150176
4,1153.94,1.22607,2.38327,1.27492,1.18122,0.52659,0.33514,0.34399,0.22754,0.53341,0.33205,0.33739,0.20078,1.27421,2.42449,1.40867,1.17781,0.00141945,0.00141945,0.00141945
5,1437.44,1.20665,2.34765,1.24153,1.16663,0.57285,0.33297,0.35285,0.23828,0.57642,0.32867,0.34626,0.20969,1.26861,2.40518,1.37894,1.18038,0.00133693,0.00133693,0.00133693
6,1720.11,1.1965,2.32442,1.2214,1.16189,0.57159,0.33723,0.34887,0.23238,0.57795,0.33022,0.34059,0.20022,1.25419,2.40248,1.40396,1.1656,0.00125442,0.00125442,0.00125442
7,2002.53,1.1778,2.28747,1.19404,1.15218,0.61448,0.33093,0.35749,0.2414,0.62048,0.32362,0.34756,0.21062,1.26043,2.41443,1.41293,1.16493,0.0011719,0.0011719,0.0011719
8,2285.3,1.17154,2.27812,1.18339,1.14789,0.57464,0.33638,0.35094,0.23461,0.5889,0.32371,0.33957,0.20451,1.25847,2.42009,1.38664,1.15638,0.00108938,0.00108938,0.00108938
9,2573.86,1.1589,2.25217,1.15622,1.13572,0.56495,0.33992,0.35616,0.23682,0.56976,0.3302,0.34639,0.20644,1.25037,2.38318,1.36898,1.16209,0.00100687,0.00100687,0.00100687
10,2857.79,1.15187,2.22767,1.13942,1.12892,0.61332,0.33907,0.36099,0.24368,0.61301,0.33089,0.34921,0.2113,1.24415,2.36308,1.37059,1.15274,0.000924352,0.000924352,0.000924352
11,3131.99,1.12597,2.14752,1.09946,1.10953,0.58878,0.33886,0.35533,0.23941,0.59824,0.3255,0.34071,0.20463,1.23725,2.38844,1.31897,1.15251,0.000841835,0.000841835,0.000841835
12,3396.58,1.10745,2.10713,1.06089,1.09728,0.61361,0.33529,0.35973,0.24104,0.61709,0.32782,0.34583,0.20819,1.24497,2.37092,1.31765,1.15286,0.000759318,0.000759318,0.000759318
13,3661.59,1.09265,2.08124,1.03242,1.08856,0.61113,0.33719,0.36277,0.24475,0.61371,0.33148,0.35241,0.21183,1.2327,2.36463,1.34661,1.14436,0.000676802,0.000676802,0.000676802
14,3926.83,1.08606,2.07227,1.01309,1.07969,0.62094,0.33749,0.36584,0.24934,0.62668,0.3284,0.35457,0.21563,1.23056,2.3506,1.31731,1.14034,0.000594286,0.000594286,0.000594286
15,4191.11,1.06719,2.04307,0.98347,1.07156,0.63743,0.33804,0.3674,0.25136,0.64834,0.33039,0.35572,0.21733,1.21621,2.35797,1.32565,1.13611,0.000511769,0.000511769,0.000511769
16,4454.66,1.04751,2.00723,0.95497,1.0612,0.59965,0.34114,0.36063,0.24597,0.61105,0.33078,0.34954,0.21136,1.21875,2.33648,1.30829,1.13564,0.000429253,0.000429253,0.000429253
17,4720.56,1.04315,1.99809,0.94429,1.05663,0.5873,0.3441,0.35967,0.24666,0.59206,0.33433,0.34882,0.21353,1.21528,2.33685,1.30367,1.13428,0.000346736,0.000346736,0.000346736
18,4985.28,1.03055,1.97827,0.92668,1.04905,0.61015,0.34291,0.36694,0.2523,0.60813,0.34062,0.35761,0.219,1.2131,2.32437,1.25991,1.13298,0.00026422,0.00026422,0.00026422
19,5251.36,1.02367,1.96899,0.91181,1.04356,0.60456,0.3462,0.36676,0.25131,0.61776,0.33597,0.35488,0.21635,1.20949,2.3323,1.27366,1.13096,0.000181703,0.000181703,0.000181703
20,5517.68,1.01823,1.9631,0.89795,1.04009,0.63008,0.33933,0.36726,0.25319,0.62803,0.33457,0.35668,0.21772,1.20399,2.32597,1.25863,1.12831,9.91865e-05,9.91865e-05,9.91865e-05
