epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2436.32,1.28418,2.53802,1.35468,1.18926,0.5889,0.36158,0.37144,0.25204,0.59411,0.35429,0.36122,0.21698,1.31383,2.51179,1.42076,1.21932,0.000555557,0.000555557,0.000555557
2,6450.59,1.26397,2.42596,1.2683,1.16335,0.58492,0.35658,0.37653,0.25496,0.59849,0.34709,0.3637,0.21956,1.31827,2.52502,1.42525,1.21378,0.00105622,0.00105622,0.00105622
3,7432.27,1.24584,2.38413,1.22232,1.15044,0.5873,0.36134,0.38263,0.26094,0.59793,0.35436,0.37295,0.22309,1.30423,2.47015,1.39375,1.20697,0.00150187,0.00150187,0.00150187
4,8003.28,1.2295,2.33946,1.18048,1.13748,0.60523,0.35924,0.38878,0.26615,0.60815,0.35263,0.37556,0.22533,1.29187,2.45412,1.38823,1.19018,0.00141945,0.00141945,0.00141945
5,8585.4,1.20764,2.29898,1.14041,1.12221,0.59826,0.37337,0.39497,0.27086,0.60603,0.3638,0.38252,0.23344,1.27385,2.41375,1.37827,1.17483,0.00133693,0.00133693,0.00133693
6,9170.62,1.18779,2.26112,1.10528,1.1116,0.60949,0.37381,0.40175,0.2751,0.61364,0.36419,0.38545,0.23267,1.28487,2.4403,1.34252,1.18925,0.00125442,0.00125442,0.00125442
7,9756.68,1.16942,2.23617,1.07588,1.10054,0.60895,0.38675,0.4098,0.28148,0.61195,0.37951,0.395,0.23789,1.27184,2.40936,1.32026,1.17538,0.0011719,0.0011719,0.0011719
8,10330.1,1.15671,2.2145,1.05323,1.09259,0.63374,0.38315,0.41611,0.2892,0.64454,0.37249,0.39906,0.24126,1.25974,2.38947,1.32359,1.16424,0.00108938,0.00108938,0.00108938
9,10898.1,1.13735,2.17073,1.02304,1.08037,0.62265,0.38908,0.4172,0.29034,0.63055,0.37633,0.39838,0.24016,1.25953,2.39416,1.28781,1.16177,0.00100687,0.00100687,0.00100687
10,11474.2,1.12268,2.14916,1.00156,1.07359,0.61512,0.3933,0.41685,0.29338,0.61714,0.38474,0.40203,0.24574,1.24698,2.37584,1.2951,1.15598,0.000924352,0.000924352,0.000924352
11,12039,1.07577,2.01302,0.92856,1.04681,0.63,0.38911,0.41997,0.293,0.63033,0.37788,0.40172,0.24347,1.25855,2.37828,1.26848,1.1594,0.000841835,0.000841835,0.000841835
12,12565.1,1.05671,1.98439,0.8907,1.03633,0.64387,0.39413,0.42895,0.29896,0.63659,0.38527,0.41141,0.24939,1.25026,2.35328,1.2458,1.15238,0.000759318,0.000759318,0.000759318
13,13304.6,1.0364,1.9507,0.86033,1.02297,0.64105,0.39946,0.43115,0.30218,0.63863,0.38751,0.41154,0.25106,1.2497,2.34722,1.23491,1.15624,0.000676802,0.000676802,0.000676802
14,14214,1.02078,1.92509,0.83596,1.01473,0.66571,0.38656,0.42828,0.29995,0.65682,0.37682,0.40932,0.24896,1.24571,2.34414,1.2419,1.15039,0.000594286,0.000594286,0.000594286
15,15116.2,1.0057,1.90638,0.81612,1.00665,0.64576,0.40113,0.43513,0.30578,0.64977,0.38593,0.41407,0.25253,1.2368,2.3318,1.2114,1.14439,0.000511769,0.000511769,0.000511769
16,15690.7,0.99386,1.88945,0.79984,1.00142,0.66096,0.40327,0.43825,0.30812,0.65052,0.38918,0.41639,0.25438,1.23937,2.33594,1.20317,1.14282,0.000429253,0.000429253,0.000429253
17,16226.7,0.98235,1.86941,0.78085,0.99555,0.65799,0.40495,0.44037,0.31017,0.6526,0.39144,0.41863,0.25624,1.23022,2.32301,1.20046,1.14195,0.000346736,0.000346736,0.000346736
18,16756.6,0.97321,1.85974,0.7681,0.98976,0.65447,0.40665,0.44142,0.31134,0.64983,0.39121,0.41875,0.25583,1.22764,2.31836,1.199,1.14059,0.00026422,0.00026422,0.00026422
19,17546.3,0.96188,1.84315,0.75651,0.98549,0.64997,0.40887,0.44305,0.31208,0.66178,0.38839,0.42028,0.25655,1.2238,2.31619,1.1895,1.13648,0.000181703,0.000181703,0.000181703
20,18077.3,0.95512,1.83253,0.74692,0.9827,0.67684,0.4037,0.44438,0.31368,0.66376,0.39166,0.42153,0.25741,1.22022,2.3102,1.19693,1.13277,9.91865e-05,9.91865e-05,9.91865e-05
