epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.377,1.30949,2.63671,1.42716,1.21931,0.57971,0.35077,0.37038,0.251,0.58411,0.34549,0.3605,0.21528,1.27567,2.43318,1.3895,1.18296,0.000555517,0.000555517,0.000555517
2,1150.5,1.29243,2.53097,1.35653,1.20105,0.59859,0.35627,0.37783,0.25611,0.6058,0.34993,0.36846,0.22166,1.27493,2.43313,1.40991,1.18136,0.00105618,0.00105618,0.00105618
3,1909.05,1.2874,2.49201,1.33814,1.1944,0.60484,0.36434,0.38581,0.25985,0.60699,0.35539,0.36976,0.21959,1.2635,2.41685,1.36396,1.17095,0.00150183,0.00150183,0.00150183
4,2488.63,1.2753,2.46206,1.31522,1.18648,0.59418,0.36938,0.39044,0.26492,0.60085,0.35943,0.37696,0.22745,1.25892,2.38363,1.33649,1.16623,0.00141945,0.00141945,0.00141945
5,3625.78,1.25851,2.43883,1.286,1.1753,0.61742,0.36595,0.39234,0.26839,0.62521,0.35677,0.37828,0.22505,1.24541,2.40057,1.33422,1.15543,0.00133693,0.00133693,0.00133693
6,4816.56,1.2411,2.39206,1.25932,1.16353,0.62537,0.37394,0.39858,0.27282,0.63251,0.36511,0.38613,0.23502,1.24155,2.34035,1.306,1.15267,0.00125442,0.00125442,0.00125442
7,5628.58,1.23657,2.39214,1.24068,1.15987,0.61674,0.37899,0.40582,0.28048,0.62211,0.36881,0.39173,0.237,1.2266,2.34398,1.28261,1.14592,0.0011719,0.0011719,0.0011719
8,6442.37,1.2213,2.35479,1.22317,1.15155,0.61265,0.37587,0.40192,0.2776,0.62011,0.3675,0.38888,0.23415,1.21362,2.34159,1.28653,1.13757,0.00108938,0.00108938,0.00108938
9,7195.43,1.20848,2.32461,1.19802,1.14339,0.61036,0.38121,0.41012,0.28294,0.61419,0.37236,0.39583,0.23783,1.22028,2.32594,1.25859,1.13669,0.00100687,0.00100687,0.00100687
10,7693.79,1.1997,2.31068,1.17907,1.14013,0.61155,0.38345,0.41286,0.28584,0.61733,0.37286,0.39807,0.24398,1.21003,2.30137,1.26814,1.13146,0.000924352,0.000924352,0.000924352
11,8416.42,1.18585,2.22562,1.1671,1.12175,0.63191,0.38278,0.41519,0.2866,0.6412,0.37357,0.40157,0.2435,1.22072,2.30545,1.2293,1.13226,0.000841835,0.000841835,0.000841835
12,9024.65,1.16672,2.17554,1.12103,1.10752,0.62012,0.39387,0.42164,0.29262,0.64577,0.37717,0.40656,0.24709,1.20495,2.29269,1.22015,1.12448,0.000759318,0.000759318,0.000759318
13,11667.3,1.1558,2.16231,1.0957,1.0999,0.6336,0.39461,0.4263,0.29705,0.64011,0.38554,0.40977,0.25141,1.19529,2.27074,1.18727,1.12011,0.000676802,0.000676802,0.000676802
14,12622.2,1.13723,2.13214,1.07739,1.08899,0.64448,0.39169,0.42608,0.29633,0.64676,0.38216,0.40929,0.25046,1.19845,2.26507,1.17875,1.12103,0.000594286,0.000594286,0.000594286
15,13611.2,1.13376,2.12471,1.05298,1.08771,0.6563,0.38939,0.42796,0.29994,0.65461,0.37917,0.4122,0.2528,1.18762,2.24168,1.1778,1.11576,0.000511769,0.000511769,0.000511769
16,14186.9,1.11719,2.0986,1.0272,1.07461,0.64969,0.39485,0.43148,0.30278,0.65032,0.38564,0.41574,0.25346,1.17063,2.23644,1.15394,1.1024,0.000429253,0.000429253,0.000429253
17,14618.4,1.10256,2.07345,1.00501,1.06743,0.65816,0.39404,0.43377,0.30592,0.65707,0.38482,0.41726,0.25584,1.16442,2.22747,1.14904,1.10235,0.000346736,0.000346736,0.000346736
18,15006.7,1.09323,2.06111,0.99087,1.06193,0.65186,0.39597,0.43563,0.3068,0.65455,0.38409,0.41519,0.25529,1.16845,2.23296,1.14059,1.10024,0.00026422,0.00026422,0.00026422
19,15393.4,1.08435,2.04942,0.9722,1.05806,0.65395,0.40274,0.43892,0.3099,0.66092,0.38763,0.41941,0.25809,1.16,2.21219,1.12335,1.0982,0.000181703,0.000181703,0.000181703
20,15783.2,1.07901,2.04069,0.96365,1.05714,0.66869,0.40019,0.44053,0.31094,0.66475,0.39189,0.4233,0.26089,1.15901,2.20896,1.12213,1.09731,9.91865e-05,9.91865e-05,9.91865e-05
