epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,563.907,1.32555,2.67541,1.46713,1.23849,0.79004,0.5963,0.66271,0.467,0.78077,0.58025,0.64591,0.397,0.98659,1.57982,0.82005,0.9691,0.000555575,0.000555575,0.000555575
2,1097.44,1.29519,2.55916,1.38196,1.21081,0.76103,0.59748,0.65582,0.4565,0.7542,0.5818,0.63891,0.38428,1.01838,1.64062,0.86019,0.97494,0.00105623,0.00105623,0.00105623
3,1627.47,1.29726,2.5434,1.36236,1.20708,0.79164,0.57665,0.64564,0.45694,0.76668,0.57793,0.63567,0.38951,0.99721,1.64831,0.83149,0.97055,0.00150188,0.00150188,0.00150188
4,3329.16,1.27856,2.50409,1.33198,1.19592,0.78286,0.58609,0.64823,0.4527,0.77763,0.57748,0.63716,0.39117,1.03948,1.66059,0.83132,0.98604,0.00141945,0.00141945,0.00141945
5,3857.92,1.26167,2.46666,1.30684,1.18535,0.77101,0.57748,0.64288,0.45011,0.76428,0.57252,0.63275,0.39297,1.03719,1.65951,0.84862,0.9806,0.00133693,0.00133693,0.00133693
6,4388.23,1.25455,2.44193,1.29106,1.1769,0.79336,0.57421,0.64559,0.4475,0.79207,0.56499,0.63291,0.38861,1.04061,1.6449,0.83678,0.98459,0.00125442,0.00125442,0.00125442
7,4916.2,1.24658,2.42631,1.26662,1.17149,0.77534,0.57794,0.63981,0.44717,0.76806,0.56822,0.62713,0.38608,1.02582,1.65332,0.85347,0.98201,0.0011719,0.0011719,0.0011719
8,5445.4,1.23431,2.40402,1.252,1.16441,0.76843,0.57351,0.63755,0.447,0.76754,0.57009,0.63111,0.38457,1.03048,1.66714,0.84873,0.98598,0.00108938,0.00108938,0.00108938
9,5977.09,1.22454,2.3845,1.2349,1.15804,0.77857,0.56805,0.63942,0.44495,0.78731,0.55067,0.62624,0.38617,1.03355,1.68601,0.84241,0.9807,0.00100687,0.00100687,0.00100687
10,6505.52,1.21424,2.36046,1.21659,1.15214,0.78721,0.56913,0.63925,0.44505,0.78467,0.55746,0.62444,0.38201,1.02734,1.66632,0.8422,0.97862,0.000924352,0.000924352,0.000924352
11,7008.23,1.2055,2.27928,1.19359,1.14012,0.76283,0.57522,0.63205,0.43999,0.77645,0.558,0.62064,0.3773,1.02983,1.65927,0.84545,0.98478,0.000841835,0.000841835,0.000841835
12,7497.33,1.19348,2.25493,1.16534,1.1306,0.76736,0.56126,0.62838,0.43873,0.7711,0.55248,0.61903,0.37579,1.04556,1.68728,0.84934,0.98789,0.000759318,0.000759318,0.000759318
13,7988.35,1.17736,2.22743,1.13505,1.12053,0.76328,0.56914,0.63174,0.44076,0.78761,0.54425,0.61883,0.37803,1.03479,1.67917,0.84241,0.98128,0.000676802,0.000676802,0.000676802
14,8477.42,1.16224,2.20268,1.1119,1.11346,0.77854,0.55488,0.62909,0.4394,0.77934,0.54569,0.61643,0.37473,1.04174,1.69338,0.84583,0.98811,0.000594286,0.000594286,0.000594286
15,8968.14,1.15432,2.18339,1.08964,1.104,0.74971,0.55205,0.61812,0.42914,0.75751,0.54531,0.60987,0.36972,1.05781,1.69978,0.86881,0.98621,0.000511769,0.000511769,0.000511769
16,9456.92,1.14084,2.16293,1.0663,1.09428,0.76295,0.5508,0.61718,0.43087,0.77245,0.53906,0.60738,0.36921,1.04762,1.67899,0.86128,0.98852,0.000429253,0.000429253,0.000429253
17,9947.81,1.13086,2.14763,1.05562,1.09133,0.75075,0.55955,0.62276,0.43404,0.7559,0.55425,0.61474,0.37364,1.04469,1.68226,0.85473,0.98597,0.000346736,0.000346736,0.000346736
18,11424.6,1.11958,2.12783,1.03351,1.08349,0.76424,0.55171,0.617,0.43052,0.76828,0.54688,0.61056,0.37238,1.04841,1.67466,0.86271,0.98537,0.00026422,0.00026422,0.00026422
19,12073.4,1.11526,2.1184,1.0254,1.08222,0.75709,0.5508,0.61968,0.43258,0.76467,0.54493,0.61317,0.37221,1.04834,1.68061,0.85453,0.98821,0.000181703,0.000181703,0.000181703
20,12913.8,1.10806,2.10919,1.01293,1.07667,0.75294,0.55905,0.62097,0.43323,0.75253,0.5556,0.61266,0.37116,1.04647,1.67712,0.85282,0.98835,9.91865e-05,9.91865e-05,9.91865e-05
