epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,447.87,1.301,2.6427,1.41824,1.21975,0.78101,0.59132,0.65725,0.4663,0.7738,0.58591,0.64491,0.39781,0.98127,1.59714,0.86609,0.96443,0.000555521,0.000555521,0.000555521
2,875.293,1.28057,2.53423,1.35159,1.19755,0.78305,0.58886,0.65741,0.45944,0.77531,0.57343,0.63867,0.38038,1.00691,1.68995,0.85689,0.97421,0.00105618,0.00105618,0.00105618
3,1297.84,1.26407,2.49293,1.32376,1.18458,0.78424,0.58229,0.64849,0.45932,0.77278,0.57651,0.63654,0.39447,1.01089,1.63434,0.84542,0.97401,0.00150184,0.00150184,0.00150184
4,1723.42,1.25045,2.45274,1.30051,1.1794,0.77691,0.58022,0.64684,0.45039,0.77578,0.5724,0.63715,0.39018,1.0348,1.65041,0.85224,0.98418,0.00141945,0.00141945,0.00141945
5,2147.76,1.23927,2.42727,1.2732,1.17004,0.78683,0.58382,0.64866,0.45296,0.77998,0.57643,0.63455,0.38481,1.01921,1.66099,0.83199,0.97656,0.00133693,0.00133693,0.00133693
6,2570.68,1.23102,2.40619,1.25557,1.16367,0.77652,0.57897,0.64428,0.45135,0.77588,0.56886,0.63028,0.38384,1.02632,1.68048,0.8442,0.97773,0.00125442,0.00125442,0.00125442
7,2995.86,1.22256,2.39292,1.23368,1.15485,0.77062,0.58243,0.63898,0.44387,0.76427,0.57846,0.62795,0.38109,1.03205,1.67674,0.84273,0.98183,0.0011719,0.0011719,0.0011719
8,3422.18,1.20504,2.35739,1.21529,1.14732,0.76434,0.56203,0.6351,0.44068,0.75626,0.55279,0.62016,0.37783,1.03724,1.69292,0.86006,0.97816,0.00108938,0.00108938,0.00108938
9,3850.1,1.20086,2.3479,1.20089,1.14354,0.74507,0.57549,0.63402,0.44096,0.76104,0.56156,0.62318,0.38597,1.03331,1.66327,0.85752,0.97731,0.00100687,0.00100687,0.00100687
10,4276.44,1.18747,2.32337,1.18699,1.13562,0.76714,0.56795,0.63252,0.43964,0.76326,0.55699,0.6212,0.38057,1.03193,1.6793,0.84355,0.97807,0.000924352,0.000924352,0.000924352
11,4679.12,1.16733,2.22687,1.14468,1.12025,0.78092,0.559,0.62778,0.43646,0.77833,0.5526,0.61708,0.37553,1.03182,1.68188,0.84955,0.98056,0.000841835,0.000841835,0.000841835
12,5076.11,1.153,2.1974,1.11017,1.10857,0.76094,0.55912,0.62432,0.43407,0.76575,0.55294,0.61486,0.37393,1.04141,1.68839,0.86105,0.98414,0.000759318,0.000759318,0.000759318
13,5470.96,1.14159,2.17906,1.08538,1.10163,0.77811,0.55917,0.62821,0.43437,0.7797,0.54552,0.61792,0.37454,1.05159,1.66747,0.8554,0.99071,0.000676802,0.000676802,0.000676802
14,5865.23,1.12732,2.15868,1.0606,1.09332,0.75374,0.56372,0.61692,0.42497,0.76454,0.55264,0.60639,0.36508,1.0605,1.70398,0.8688,0.99548,0.000594286,0.000594286,0.000594286
15,44456.2,1.11479,2.12907,1.03723,1.0849,0.75532,0.56441,0.61796,0.42193,0.74903,0.55811,0.60584,0.37111,1.07488,1.70076,0.86556,0.99715,0.000511769,0.000511769,0.000511769
16,44850.9,1.10715,2.11891,1.02647,1.08017,0.77687,0.5525,0.62094,0.427,0.77438,0.55077,0.61081,0.37202,1.05483,1.69763,0.86807,0.99424,0.000429253,0.000429253,0.000429253
17,45243.9,1.09504,2.10439,1.00789,1.07243,0.76053,0.5598,0.61746,0.42312,0.75675,0.55327,0.60697,0.36862,1.0704,1.72001,0.86301,1.00335,0.000346736,0.000346736,0.000346736
18,45639.4,1.09151,2.0888,0.99309,1.06958,0.7575,0.56609,0.61699,0.42265,0.7544,0.56258,0.60926,0.36747,1.0747,1.72298,0.85976,1.00463,0.00026422,0.00026422,0.00026422
19,46029.9,1.08147,2.07566,0.98042,1.06293,0.75765,0.56668,0.61865,0.42635,0.75291,0.56147,0.61071,0.36968,1.06911,1.71697,0.84986,1.00328,0.000181703,0.000181703,0.000181703
20,46420.6,1.07327,2.06136,0.96601,1.05862,0.76215,0.55901,0.61669,0.42686,0.75756,0.55339,0.60731,0.37003,1.06264,1.71016,0.86002,1.00174,9.91865e-05,9.91865e-05,9.91865e-05
